Msn2,Nrg2,Cyc8,Sok2,Ash1,Gat1,Fkh1,Ace2,Tec1,Ste12,Mig3,Tda9,Msn2_OE,Msn2_DBD,Msn2_DBD_OE,Dal80,Gln3,Gzf3,Abf1,Aca1,Adr1,Cbf1,Crz1,Cup9,Dot6,Fkh2,Hcm1,Mbp1,Met31,Mot3,Rap1,Reb1,Rgm1,Rpn4,Sfl1,Skn7,Sko1,Stp1,Stp3,Swi4,Swi5,Tod6,Tos8,Usv1,Yap1,Med15,MNase
950,2020,1233,904,3219,33,233,99,5447,6740,1688,912,758,4468,3844,3,11,12,3601,1732,1087,816,1070,1059,1945,182,156,2240,225,1228,49,552,162,1274,1355,534,1462,224,753,1646,381,967,918,192,946,1045,8666
822,1215,1159,613,5248,111,943,693,3445,5799,292,67,1572,7549,6984,6,1,31,4793,641,108,1496,582,4154,3002,1636,1737,3884,977,1310,1596,3494,78,5267,1099,456,1134,38,1297,2056,1258,1327,1040,20,419,588,7608
1484,1019,908,948,5744,50,872,813,2504,2944,1424,906,2100,8590,8390,49,6,57,1243,1134,1348,4892,380,324,1384,379,3733,2239,1665,589,1135,3169,1523,911,1970,771,1813,33,2605,2090,2339,1235,1056,829,366,882,8741
1272,13,608,820,3672,1699,312,600,88,71,1007,3764,1129,2958,2000,1477,4147,1746,5037,21,1763,2592,4461,690,880,262,360,57,4940,2299,6046,811,2995,8270,835,1292,1033,1231,2738,145,318,1168,1086,1437,3332,2949,4217
194,672,779,423,7092,659,4886,274,4045,2508,274,54,153,8587,7682,1465,82,1263,5037,447,10,230,28,1075,2298,1654,2518,926,280,474,1197,680,5414,2260,3222,312,329,31,282,506,373,4862,2405,2840,376,77,8993
2389,1228,730,2301,5745,1665,7565,1106,3031,6455,1501,1297,2729,8948,8055,4486,2851,4731,1096,6376,1950,4,1992,2731,251,2473,4127,1296,33,2932,1754,1820,5326,5824,2086,1197,2534,2037,3382,1187,4242,1436,6757,4882,2571,1028,9446
2121,1152,1547,766,1850,564,4592,896,16,4,941,1775,1776,6437,2993,88,1445,47,2109,1220,1516,1006,183,3224,808,1847,328,298,3649,2587,3708,3395,3322,4648,689,1526,1588,2095,7073,644,290,1154,2236,3319,2243,1817,4379
8147,6564,6340,8796,6799,4406,863,1644,160,6,5654,6768,8227,7389,6459,3556,4147,6524,4173,5132,6008,6084,7950,4467,6523,3605,2518,6098,8820,7377,6046,4628,6482,556,5698,5376,2830,7773,6799,4362,2217,5967,2685,5432,7205,3653,43
19,239,144,79,1157,800,1918,107,378,791,261,160,64,87,7,374,170,408,3799,234,207,742,38,144,87,335,4127,21,322,259,1453,1476,381,12,153,98,326,122,125,160,239,222,45,199,259,112,7956
292,271,90,191,31,5827,3026,262,478,3478,194,279,315,3364,2892,520,136,616,1424,83,391,1443,600,57,24,941,624,188,440,430,2004,1749,1839,23,60,25,39,46,88,400,227,22,190,898,4,458,8355
306,97,58,307,2073,1699,3015,1224,156,689,8,239,45,750,489,620,2220,802,5037,184,179,3294,1116,376,594,1062,2518,788,2290,101,2488,4539,297,5129,69,624,92,2322,940,907,1101,1348,134,47,293,534,6826
61,1075,732,1178,1724,872,3593,486,508,948,881,48,10,911,365,2280,685,2786,5037,373,109,8026,155,1286,1087,1953,1155,1294,739,1660,3258,3904,1120,6708,37,271,173,1534,439,1999,245,1454,1211,865,217,176,5596
320,334,75,126,1543,274,725,359,891,3070,963,510,46,624,131,36,947,31,5037,520,1402,24,2149,773,1190,236,225,1358,684,588,944,664,150,7152,167,29,456,766,779,1027,1139,1284,183,43,394,1404,7605
428,1,44,6,2031,4406,5991,566,1693,1943,23,527,152,1870,452,311,3064,1038,4761,830,485,3893,560,180,618,857,2090,1383,455,1,1804,962,73,323,12,161,999,194,442,194,2349,855,44,82,1188,1181,7627
60,523,553,583,2543,25,653,561,1290,610,594,121,431,85,587,558,236,745,5037,444,76,4269,474,889,514,720,456,1291,637,182,2452,1983,272,2734,514,659,878,358,1546,833,235,856,688,103,396,93,2632
1105,2781,1543,2943,1372,5134,1191,144,6178,7827,2270,2933,213,309,634,3181,4147,2537,371,6653,2987,25,2942,5425,1189,667,4549,255,2553,730,1380,492,1958,1031,2695,1221,2018,3499,6292,81,560,2237,5319,873,3333,2768,6725
